	ensembl_gene_id	external_gene_name	description
4117	ENSG00000151033	LYZL2	lysozyme like 2 [Source:HGNC Symbol;Acc:HGNC:29613]
4118	ENSG00000108405	P2RX1	purinergic receptor P2X 1 [Source:HGNC Symbol;Acc:HGNC:8533]
4119	ENSG00000138944	SHISAL1	shisa like 1 [Source:HGNC Symbol;Acc:HGNC:29335]
4120	ENSG00000120158	RCL1	RNA terminal phosphate cyclase like 1 [Source:HGNC Symbol;Acc:HGNC:17687]
4121	ENSG00000139910	NOVA1	NOVA alternative splicing regulator 1 [Source:HGNC Symbol;Acc:HGNC:7886]
4122	ENSG00000196236	XPNPEP3	X-prolyl aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:28052]
4123	ENSG00000132164	SLC6A11	solute carrier family 6 member 11 [Source:HGNC Symbol;Acc:HGNC:11044]
4124	ENSG00000101558	VAPA	VAMP associated protein A [Source:HGNC Symbol;Acc:HGNC:12648]
4125	ENSG00000151023	ENKUR	enkurin, TRPC channel interacting protein [Source:HGNC Symbol;Acc:HGNC:28388]
4126	ENSG00000133104	SPART	spartin [Source:HGNC Symbol;Acc:HGNC:18514]
4127	ENSG00000187624	C17orf97	chromosome 17 open reading frame 97 [Source:HGNC Symbol;Acc:HGNC:33800]
4128	ENSG00000104953	TLE6	TLE family member 6, subcortical maternal complex member [Source:HGNC Symbol;Acc:HGNC:30788]
4129	ENSG00000101460	MAP1LC3A	microtubule associated protein 1 light chain 3 alpha [Source:HGNC Symbol;Acc:HGNC:6838]
4130	ENSG00000091622	PITPNM3	PITPNM family member 3 [Source:HGNC Symbol;Acc:HGNC:21043]
4131	ENSG00000122873	CISD1	CDGSH iron sulfur domain 1 [Source:HGNC Symbol;Acc:HGNC:30880]
4132	ENSG00000183579	ZNRF3	zinc and ring finger 3 [Source:HGNC Symbol;Acc:HGNC:18126]
4133	ENSG00000163527	STT3B	STT3 oligosaccharyltransferase complex catalytic subunit B [Source:HGNC Symbol;Acc:HGNC:30611]
4134	ENSG00000136770	DNAJC1	DnaJ heat shock protein family (Hsp40) member C1 [Source:HGNC Symbol;Acc:HGNC:20090]
4135	ENSG00000107018	RLN1	relaxin 1 [Source:HGNC Symbol;Acc:HGNC:10026]
4136	ENSG00000175065	DSG4	desmoglein 4 [Source:HGNC Symbol;Acc:HGNC:21307]
4137	ENSG00000107020	PLGRKT	plasminogen receptor with a C-terminal lysine [Source:HGNC Symbol;Acc:HGNC:23633]
4138	ENSG00000197586	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 [Source:HGNC Symbol;Acc:HGNC:3368]
4139	ENSG00000100243	CYB5R3	cytochrome b5 reductase 3 [Source:HGNC Symbol;Acc:HGNC:2873]
4140	ENSG00000284306	SSU72P2	SSU72 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:43621]
4141	ENSG00000177054	ZDHHC13	zinc finger DHHC-type palmitoyltransferase 13 [Source:HGNC Symbol;Acc:HGNC:18413]
4142	ENSG00000165633	VSTM4	V-set and transmembrane domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26470]
4143	ENSG00000106993	CDC37L1	cell division cycle 37 like 1 [Source:HGNC Symbol;Acc:HGNC:17179]
4144	ENSG00000151413	NUBPL	nucleotide binding protein like [Source:HGNC Symbol;Acc:HGNC:20278]
4145	ENSG00000154813	DPH3	diphthamide biosynthesis 3 [Source:HGNC Symbol;Acc:HGNC:27717]
4146	ENSG00000103126	AXIN1	axin 1 [Source:HGNC Symbol;Acc:HGNC:903]
4147	ENSG00000099864	PALM	paralemmin [Source:HGNC Symbol;Acc:HGNC:8594]
4148	ENSG00000122912	SLC25A16	solute carrier family 25 member 16 [Source:HGNC Symbol;Acc:HGNC:10986]
4149	ENSG00000134757	DSG3	desmoglein 3 [Source:HGNC Symbol;Acc:HGNC:3050]
4150	ENSG00000102572	STK24	serine/threonine kinase 24 [Source:HGNC Symbol;Acc:HGNC:11403]
4151	ENSG00000173705	SUSD5	sushi domain containing 5 [Source:HGNC Symbol;Acc:HGNC:29061]
4152	ENSG00000083457	ITGAE	integrin subunit alpha E [Source:HGNC Symbol;Acc:HGNC:6147]
4153	ENSG00000155158	TTC39B	tetratricopeptide repeat domain 39B [Source:HGNC Symbol;Acc:HGNC:23704]
4154	ENSG00000100852	ARHGAP5	Rho GTPase activating protein 5 [Source:HGNC Symbol;Acc:HGNC:675]
4155	ENSG00000165443	PHYHIPL	phytanoyl-CoA 2-hydroxylase interacting protein like [Source:HGNC Symbol;Acc:HGNC:29378]
4156	ENSG00000154822	PLCL2	phospholipase C like 2 [Source:HGNC Symbol;Acc:HGNC:9064]
4157	ENSG00000118271	TTR	transthyretin [Source:HGNC Symbol;Acc:HGNC:12405]
4158	ENSG00000229937	PRPS1L1	phosphoribosyl pyrophosphate synthetase 1 like 1 [Source:HGNC Symbol;Acc:HGNC:9463]
4159	ENSG00000198298	ZNF485	zinc finger protein 485 [Source:HGNC Symbol;Acc:HGNC:23440]
4160	ENSG00000105954	NPVF	neuropeptide VF precursor [Source:HGNC Symbol;Acc:HGNC:13782]
4161	ENSG00000125931	CITED1	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1 [Source:HGNC Symbol;Acc:HGNC:1986]
4162	ENSG00000170558	CDH2	cadherin 2 [Source:HGNC Symbol;Acc:HGNC:1759]
4163	ENSG00000151789	ZNF385D	zinc finger protein 385D [Source:HGNC Symbol;Acc:HGNC:26191]
4164	ENSG00000100266	PACSIN2	protein kinase C and casein kinase substrate in neurons 2 [Source:HGNC Symbol;Acc:HGNC:8571]
4165	ENSG00000179580	RNF151	ring finger protein 151 [Source:HGNC Symbol;Acc:HGNC:23235]
4166	ENSG00000142178	SIK1	salt inducible kinase 1 [Source:HGNC Symbol;Acc:HGNC:11142]
4167	ENSG00000150201	FXYD4	FXYD domain containing ion transport regulator 4 [Source:HGNC Symbol;Acc:HGNC:4028]
4168	ENSG00000198858	R3HDM4	R3H domain containing 4 [Source:HGNC Symbol;Acc:HGNC:28270]
4169	ENSG00000106066	CPVL	carboxypeptidase vitellogenic like [Source:HGNC Symbol;Acc:HGNC:14399]
4170	ENSG00000149050	ZNF214	zinc finger protein 214 [Source:HGNC Symbol;Acc:HGNC:13006]
4171	ENSG00000129515	SNX6	sorting nexin 6 [Source:HGNC Symbol;Acc:HGNC:14970]
4172	ENSG00000008710	PKD1	polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]
4173	ENSG00000138303	ASCC1	activating signal cointegrator 1 complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24268]
4174	ENSG00000215182	MUC5AC	mucin 5AC, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7515]
4175	ENSG00000007952	NOX1	NADPH oxidase 1 [Source:HGNC Symbol;Acc:HGNC:7889]
4176	ENSG00000160207	HSF2BP	heat shock transcription factor 2 binding protein [Source:HGNC Symbol;Acc:HGNC:5226]
4177	ENSG00000161929	SCIMP	SLP adaptor and CSK interacting membrane protein [Source:HGNC Symbol;Acc:HGNC:33504]
4178	ENSG00000136161	RCBTB2	RCC1 and BTB domain containing protein 2 [Source:HGNC Symbol;Acc:HGNC:1914]
4179	ENSG00000099817	POLR2E	RNA polymerase II, I and III subunit E [Source:HGNC Symbol;Acc:HGNC:9192]
4180	ENSG00000234289	H2BS1	H2B.S histone 1 [Source:HGNC Symbol;Acc:HGNC:4762]
4181	ENSG00000070950	RAD18	RAD18 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:18278]
4182	ENSG00000160221	GATD3A	glutamine amidotransferase like class 1 domain containing 3A [Source:HGNC Symbol;Acc:HGNC:1273]
4183	ENSG00000288416		
4184	ENSG00000135378	PRRG4	proline rich and Gla domain 4 [Source:HGNC Symbol;Acc:HGNC:30799]
4185	ENSG00000129204	USP6	ubiquitin specific peptidase 6 [Source:HGNC Symbol;Acc:HGNC:12629]
4186	ENSG00000147883	CDKN2B	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]
4187	ENSG00000120210	INSL6	insulin like 6 [Source:HGNC Symbol;Acc:HGNC:6089]
4188	ENSG00000284915	TINF2	TERF1 interacting nuclear factor 2 [Source:HGNC Symbol;Acc:HGNC:11824]
4189	ENSG00000110756	HPS5	HPS5 biogenesis of lysosomal organelles complex 2 subunit 2 [Source:HGNC Symbol;Acc:HGNC:17022]
4190	ENSG00000122824	NUDT10	nudix hydrolase 10 [Source:HGNC Symbol;Acc:HGNC:17621]
4191	ENSG00000183354	KIAA2026	KIAA2026 [Source:HGNC Symbol;Acc:HGNC:23378]
4192	ENSG00000184205	TSPYL2	TSPY like 2 [Source:HGNC Symbol;Acc:HGNC:24358]
4193	ENSG00000129518	EAPP	E2F associated phosphoprotein [Source:HGNC Symbol;Acc:HGNC:19312]
4194	ENSG00000144668	ITGA9	integrin subunit alpha 9 [Source:HGNC Symbol;Acc:HGNC:6145]
4195	ENSG00000178235	SLITRK1	SLIT and NTRK like family member 1 [Source:HGNC Symbol;Acc:HGNC:20297]
4196	ENSG00000132965	ALOX5AP	arachidonate 5-lipoxygenase activating protein [Source:HGNC Symbol;Acc:HGNC:436]
4197	ENSG00000125910	S1PR4	sphingosine-1-phosphate receptor 4 [Source:HGNC Symbol;Acc:HGNC:3170]
4198	ENSG00000106688	SLC1A1	solute carrier family 1 member 1 [Source:HGNC Symbol;Acc:HGNC:10939]
4199	ENSG00000288513	OR4F4	olfactory receptor family 4 subfamily F member 4 [Source:HGNC Symbol;Acc:HGNC:8301]
4200	ENSG00000100442	FKBP3	FKBP prolyl isomerase 3 [Source:HGNC Symbol;Acc:HGNC:3719]
4201	ENSG00000125912	NCLN	nicalin [Source:HGNC Symbol;Acc:HGNC:26923]
4202	ENSG00000102466	FGF14	fibroblast growth factor 14 [Source:HGNC Symbol;Acc:HGNC:3671]
4203	ENSG00000215472	RPL17-C18orf32	RPL17-C18orf32 readthrough [Source:HGNC Symbol;Acc:HGNC:44661]
4204	ENSG00000105963	ADAP1	ArfGAP with dual PH domains 1 [Source:HGNC Symbol;Acc:HGNC:16486]
4205	ENSG00000032742	IFT88	intraflagellar transport 88 [Source:HGNC Symbol;Acc:HGNC:20606]
4206	ENSG00000126733	DACH2	dachshund family transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16814]
4207	ENSG00000274600	RIMBP3B	RIMS binding protein 3B [Source:HGNC Symbol;Acc:HGNC:33891]
4208	ENSG00000160223	ICOSLG	inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087]
4209	ENSG00000100241	SBF1	SET binding factor 1 [Source:HGNC Symbol;Acc:HGNC:10542]
4210	ENSG00000285348	TGM1	transglutaminase 1 [Source:HGNC Symbol;Acc:HGNC:11777]
4211	ENSG00000265203	RBP3	retinol binding protein 3 [Source:HGNC Symbol;Acc:HGNC:9921]
4212	ENSG00000129514	FOXA1	forkhead box A1 [Source:HGNC Symbol;Acc:HGNC:5021]
4213	ENSG00000101670	LIPG	lipase G, endothelial type [Source:HGNC Symbol;Acc:HGNC:6623]
4214	ENSG00000165322	ARHGAP12	Rho GTPase activating protein 12 [Source:HGNC Symbol;Acc:HGNC:16348]
4215	ENSG00000168952	STXBP6	syntaxin binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19666]
4216	ENSG00000205808	PLPP6	phospholipid phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:23682]
4217	ENSG00000197646	PDCD1LG2	programmed cell death 1 ligand 2 [Source:HGNC Symbol;Acc:HGNC:18731]
4218	ENSG00000102445	RUBCNL	rubicon like autophagy enhancer [Source:HGNC Symbol;Acc:HGNC:20420]
4219	ENSG00000288336		
4220	ENSG00000044459	CNTLN	centlein [Source:HGNC Symbol;Acc:HGNC:23432]
4221	ENSG00000288284		
4222	ENSG00000125046	SSUH2	ssu-2 homolog [Source:HGNC Symbol;Acc:HGNC:24809]
4223	ENSG00000142182	DNMT3L	DNA methyltransferase 3 like [Source:HGNC Symbol;Acc:HGNC:2980]
4224	ENSG00000198934	MAGEE1	MAGE family member E1 [Source:HGNC Symbol;Acc:HGNC:24934]
4225	ENSG00000196440	ARMCX4	armadillo repeat containing X-linked 4 [Source:HGNC Symbol;Acc:HGNC:28615]
4226	ENSG00000100890	PRORP	protein only RNase P catalytic subunit [Source:HGNC Symbol;Acc:HGNC:19958]
4227	ENSG00000285193	RABGGTA	Rab geranylgeranyltransferase subunit alpha [Source:HGNC Symbol;Acc:HGNC:9795]
4228	ENSG00000256806	C17orf100	chromosome 17 open reading frame 100 [Source:HGNC Symbol;Acc:HGNC:34494]
4229	ENSG00000141627	DYM	dymeclin [Source:HGNC Symbol;Acc:HGNC:21317]
4230	ENSG00000108515	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]
4231	ENSG00000151117	TMEM86A	transmembrane protein 86A [Source:HGNC Symbol;Acc:HGNC:26890]
4232	ENSG00000107036	RIC1	RIC1 homolog, RAB6A GEF complex partner 1 [Source:HGNC Symbol;Acc:HGNC:17686]
4233	ENSG00000160224	AIRE	autoimmune regulator [Source:HGNC Symbol;Acc:HGNC:360]
4234	ENSG00000125247	TMTC4	transmembrane O-mannosyltransferase targeting cadherins 4 [Source:HGNC Symbol;Acc:HGNC:25904]
4235	ENSG00000185222	TCEAL9	transcription elongation factor A like 9 [Source:HGNC Symbol;Acc:HGNC:30084]
4236	ENSG00000170748	RBMXL2	RBMX like 2 [Source:HGNC Symbol;Acc:HGNC:17886]
4237	ENSG00000132259	CNGA4	cyclic nucleotide gated channel subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:2152]
4238	ENSG00000102390	PBDC1	polysaccharide biosynthesis domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28790]
4239	ENSG00000130701	RBBP8NL	RBBP8 N-terminal like [Source:HGNC Symbol;Acc:HGNC:16144]
4240	ENSG00000169635	HIC2	HIC ZBTB transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:18595]
4241	ENSG00000134343	ANO3	anoctamin 3 [Source:HGNC Symbol;Acc:HGNC:14004]
4242	ENSG00000141646	SMAD4	SMAD family member 4 [Source:HGNC Symbol;Acc:HGNC:6770]
4243	ENSG00000130540	SULT4A1	sulfotransferase family 4A member 1 [Source:HGNC Symbol;Acc:HGNC:14903]
4244	ENSG00000141959	PFKL	phosphofructokinase, liver type [Source:HGNC Symbol;Acc:HGNC:8876]
4245	ENSG00000149646	CNBD2	cyclic nucleotide binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16145]
4246	ENSG00000105255	FSD1	fibronectin type III and SPRY domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13745]
4247	ENSG00000179300	RTL3	retrotransposon Gag like 3 [Source:HGNC Symbol;Acc:HGNC:22997]
4248	ENSG00000163576	EFHB	EF-hand domain family member B [Source:HGNC Symbol;Acc:HGNC:26330]
4249	ENSG00000174016	TENT5D	terminal nucleotidyltransferase 5D [Source:HGNC Symbol;Acc:HGNC:28399]
4250	ENSG00000288360	ZSWIM4	zinc finger SWIM-type containing 4 [Source:HGNC Symbol;Acc:HGNC:25704]
4251	ENSG00000122145	TBX22	T-box transcription factor 22 [Source:HGNC Symbol;Acc:HGNC:11600]
4252	ENSG00000183032	SLC25A21	solute carrier family 25 member 21 [Source:HGNC Symbol;Acc:HGNC:14411]
4253	ENSG00000133106	EPSTI1	epithelial stromal interaction 1 [Source:HGNC Symbol;Acc:HGNC:16465]
4254	ENSG00000176624	MEX3C	mex-3 RNA binding family member C [Source:HGNC Symbol;Acc:HGNC:28040]
4255	ENSG00000131653	TRAF7	TNF receptor associated factor 7 [Source:HGNC Symbol;Acc:HGNC:20456]
4256	ENSG00000073614	KDM5A	lysine demethylase 5A [Source:HGNC Symbol;Acc:HGNC:9886]
4257	ENSG00000101439	CST3	cystatin C [Source:HGNC Symbol;Acc:HGNC:2475]
4258	ENSG00000288505	NANOS3	nanos C2HC-type zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:22048]
4259	ENSG00000196628	TCF4	transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11634]
4260	ENSG00000188167	TMPPE	transmembrane protein with metallophosphoesterase domain [Source:HGNC Symbol;Acc:HGNC:33865]
4261	ENSG00000164818	DNAAF5	dynein axonemal assembly factor 5 [Source:HGNC Symbol;Acc:HGNC:26013]
4262	ENSG00000087301	TXNDC16	thioredoxin domain containing 16 [Source:HGNC Symbol;Acc:HGNC:19965]
4263	ENSG00000153779	TGIF2LX	TGFB induced factor homeobox 2 like X-linked [Source:HGNC Symbol;Acc:HGNC:18570]
4264	ENSG00000011132	APBA3	amyloid beta precursor protein binding family A member 3 [Source:HGNC Symbol;Acc:HGNC:580]
4265	ENSG00000288152	BRME1	break repair meiotic recombinase recruitment factor 1 [Source:HGNC Symbol;Acc:HGNC:28153]
4266	ENSG00000129810	SGO1	shugoshin 1 [Source:HGNC Symbol;Acc:HGNC:25088]
4267	ENSG00000102053	ZC3H12B	zinc finger CCCH-type containing 12B [Source:HGNC Symbol;Acc:HGNC:17407]
4268	ENSG00000124227	ANKRD60	ankyrin repeat domain 60 [Source:HGNC Symbol;Acc:HGNC:16217]
4269	ENSG00000188133	TMEM215	transmembrane protein 215 [Source:HGNC Symbol;Acc:HGNC:33816]
4270	ENSG00000147862	NFIB	nuclear factor I B [Source:HGNC Symbol;Acc:HGNC:7785]
4271	ENSG00000102057	KCND1	potassium voltage-gated channel subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:6237]
4272	ENSG00000110768	GTF2H1	general transcription factor IIH subunit 1 [Source:HGNC Symbol;Acc:HGNC:4655]
4273	ENSG00000288293	CC2D1A	coiled-coil and C2 domain containing 1A [Source:HGNC Symbol;Acc:HGNC:30237]
4274	ENSG00000127863	TNFRSF19	TNF receptor superfamily member 19 [Source:HGNC Symbol;Acc:HGNC:11915]
4275	ENSG00000083454	P2RX5	purinergic receptor P2X 5 [Source:HGNC Symbol;Acc:HGNC:8536]
4276	ENSG00000147202	DIAPH2	diaphanous related formin 2 [Source:HGNC Symbol;Acc:HGNC:2877]
4277	ENSG00000105289	TJP3	tight junction protein 3 [Source:HGNC Symbol;Acc:HGNC:11829]
4278	ENSG00000101193	GID8	GID complex subunit 8 homolog [Source:HGNC Symbol;Acc:HGNC:15857]
4279	ENSG00000284868	DHRS1	dehydrogenase/reductase 1 [Source:HGNC Symbol;Acc:HGNC:16445]
4280	ENSG00000131059	BPIFA3	BPI fold containing family A member 3 [Source:HGNC Symbol;Acc:HGNC:16204]
4281	ENSG00000183751	TBL3	transducin beta like 3 [Source:HGNC Symbol;Acc:HGNC:11587]
4282	ENSG00000105928	GSDME	gasdermin E [Source:HGNC Symbol;Acc:HGNC:2810]
4283	ENSG00000072401	UBE2D1	ubiquitin conjugating enzyme E2 D1 [Source:HGNC Symbol;Acc:HGNC:12474]
4284	ENSG00000168229	PTGDR	prostaglandin D2 receptor [Source:HGNC Symbol;Acc:HGNC:9591]
4285	ENSG00000139832	RAB20	RAB20, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18260]
4286	ENSG00000160226	CFAP410	cilia and flagella associated protein 410 [Source:HGNC Symbol;Acc:HGNC:1260]
4287	ENSG00000165501	LRR1	leucine rich repeat protein 1 [Source:HGNC Symbol;Acc:HGNC:19742]
4288	ENSG00000159307	SCUBE1	signal peptide, CUB domain and EGF like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13441]
4289	ENSG00000134905	CARS2	cysteinyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:25695]
4290	ENSG00000285326	NOP9	NOP9 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:19826]
4291	ENSG00000124225	PMEPA1	prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]
4292	ENSG00000266524	GDF10	growth differentiation factor 10 [Source:HGNC Symbol;Acc:HGNC:4215]
4293	ENSG00000255639		novel protein
4294	ENSG00000288195	PODNL1	podocan like 1 [Source:HGNC Symbol;Acc:HGNC:26275]
4295	ENSG00000120645	IQSEC3	IQ motif and Sec7 domain ArfGEF 3 [Source:HGNC Symbol;Acc:HGNC:29193]
4296	ENSG00000165516	KLHDC2	kelch domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20231]
4297	ENSG00000196693	ZNF33B	zinc finger protein 33B [Source:HGNC Symbol;Acc:HGNC:13097]
4298	ENSG00000183569	SERHL2	serine hydrolase like 2 [Source:HGNC Symbol;Acc:HGNC:29446]
4299	ENSG00000160233	LRRC3	leucine rich repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:14965]
4300	ENSG00000175894	TSPEAR	thrombospondin type laminin G domain and EAR repeats [Source:HGNC Symbol;Acc:HGNC:1268]
4301	ENSG00000285199	CIDEB	cell death inducing DFFA like effector b [Source:HGNC Symbol;Acc:HGNC:1977]
4302	ENSG00000110696	C11orf58	chromosome 11 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:16990]
4303	ENSG00000101365	IDH3B	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:5385]
4304	ENSG00000047621	C12orf4	chromosome 12 open reading frame 4 [Source:HGNC Symbol;Acc:HGNC:1184]
4305	ENSG00000107745	MICU1	mitochondrial calcium uptake 1 [Source:HGNC Symbol;Acc:HGNC:1530]
4306	ENSG00000288453	DCAF15	DDB1 and CUL4 associated factor 15 [Source:HGNC Symbol;Acc:HGNC:25095]
4307	ENSG00000204272	NBDY	negative regulator of P-body association [Source:HGNC Symbol;Acc:HGNC:50713]
4308	ENSG00000285203	LTB4R2	leukotriene B4 receptor 2 [Source:HGNC Symbol;Acc:HGNC:19260]
4309	ENSG00000129170	CSRP3	cysteine and glycine rich protein 3 [Source:HGNC Symbol;Acc:HGNC:2472]
4310	ENSG00000285456	LTB4R	leukotriene B4 receptor [Source:HGNC Symbol;Acc:HGNC:6713]
4311	ENSG00000131171	SH3BGRL	SH3 domain binding glutamate rich protein like [Source:HGNC Symbol;Acc:HGNC:10823]
4312	ENSG00000070882	OSBPL3	oxysterol binding protein like 3 [Source:HGNC Symbol;Acc:HGNC:16370]
4313	ENSG00000288283	RFX1	regulatory factor X1 [Source:HGNC Symbol;Acc:HGNC:9982]
4314	ENSG00000215455	KRTAP10-1	keratin associated protein 10-1 [Source:HGNC Symbol;Acc:HGNC:22966]
4315	ENSG00000205445	KRTAP10-2	keratin associated protein 10-2 [Source:HGNC Symbol;Acc:HGNC:22967]
4316	ENSG00000212935	KRTAP10-3	keratin associated protein 10-3 [Source:HGNC Symbol;Acc:HGNC:22968]
4317	ENSG00000284814	ADCY4	adenylate cyclase 4 [Source:HGNC Symbol;Acc:HGNC:235]
4318	ENSG00000215454	KRTAP10-4	keratin associated protein 10-4 [Source:HGNC Symbol;Acc:HGNC:20521]
4319	ENSG00000196415	PRTN3	proteinase 3 [Source:HGNC Symbol;Acc:HGNC:9495]
4320	ENSG00000241123	KRTAP10-5	keratin associated protein 10-5 [Source:HGNC Symbol;Acc:HGNC:22969]
4321	ENSG00000188155	KRTAP10-6	keratin associated protein 10-6 [Source:HGNC Symbol;Acc:HGNC:20523]
4322	ENSG00000170935	NCBP2L	nuclear cap binding protein subunit 2 like [Source:HGNC Symbol;Acc:HGNC:31795]
4323	ENSG00000272804	KRTAP10-7	keratin associated protein 10-7 [Source:HGNC Symbol;Acc:HGNC:22970]
4324	ENSG00000187766	KRTAP10-8	keratin associated protein 10-8 [Source:HGNC Symbol;Acc:HGNC:20525]
4325	ENSG00000221837	KRTAP10-9	keratin associated protein 10-9 [Source:HGNC Symbol;Acc:HGNC:22971]
4326	ENSG00000153487	ING1	inhibitor of growth family member 1 [Source:HGNC Symbol;Acc:HGNC:6062]
4327	ENSG00000221859	KRTAP10-10	keratin associated protein 10-10 [Source:HGNC Symbol;Acc:HGNC:22972]
4328	ENSG00000243489	KRTAP10-11	keratin associated protein 10-11 [Source:HGNC Symbol;Acc:HGNC:20528]
4329	ENSG00000212933	KRTAP12-4	keratin associated protein 12-4 [Source:HGNC Symbol;Acc:HGNC:20532]
4330	ENSG00000204071	TCEAL6	transcription elongation factor A like 6 [Source:HGNC Symbol;Acc:HGNC:24553]
4331	ENSG00000205439	KRTAP12-3	keratin associated protein 12-3 [Source:HGNC Symbol;Acc:HGNC:20531]
4332	ENSG00000221864	KRTAP12-2	keratin associated protein 12-2 [Source:HGNC Symbol;Acc:HGNC:20530]
4333	ENSG00000187175	KRTAP12-1	keratin associated protein 12-1 [Source:HGNC Symbol;Acc:HGNC:20529]
4334	ENSG00000189169	KRTAP10-12	keratin associated protein 10-12 [Source:HGNC Symbol;Acc:HGNC:20533]
4335	ENSG00000105246	EBI3	Epstein-Barr virus induced 3 [Source:HGNC Symbol;Acc:HGNC:3129]
4336	ENSG00000165572	KBTBD6	kelch repeat and BTB domain containing 6 [Source:HGNC Symbol;Acc:HGNC:25340]
4337	ENSG00000184787	UBE2G2	ubiquitin conjugating enzyme E2 G2 [Source:HGNC Symbol;Acc:HGNC:12483]
4338	ENSG00000170743	SYT9	synaptotagmin 9 [Source:HGNC Symbol;Acc:HGNC:19265]
4339	ENSG00000288474	RLN3	relaxin 3 [Source:HGNC Symbol;Acc:HGNC:17135]
4340	ENSG00000151079	KCNA6	potassium voltage-gated channel subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:6225]
4341	ENSG00000120696	KBTBD7	kelch repeat and BTB domain containing 7 [Source:HGNC Symbol;Acc:HGNC:25266]
4342	ENSG00000167972	ABCA3	ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33]
4343	ENSG00000120662	MTRF1	mitochondrial translation release factor 1 [Source:HGNC Symbol;Acc:HGNC:7469]
4344	ENSG00000288185	IL27RA	interleukin 27 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:17290]
4345	ENSG00000104885	DOT1L	DOT1 like histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:24948]
4346	ENSG00000127774	EMC6	ER membrane protein complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:28430]
4347	ENSG00000180787	ZFP3	ZFP3 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:12861]
4348	ENSG00000004478	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]
4349	ENSG00000288318	PALM3	paralemmin 3 [Source:HGNC Symbol;Acc:HGNC:33274]
4350	ENSG00000093167	LRRFIP2	LRR binding FLII interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:6703]
4351	ENSG00000124164	VAPB	VAMP associated protein B and C [Source:HGNC Symbol;Acc:HGNC:12649]
4352	ENSG00000254598	CSNK2A3	casein kinase 2 alpha 3 [Source:HGNC Symbol;Acc:HGNC:2458]
4353	ENSG00000172766	NAA16	N-alpha-acetyltransferase 16, NatA auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:26164]
4354	ENSG00000288191	MISP3	MISP family member 3 [Source:HGNC Symbol;Acc:HGNC:26963]
4355	ENSG00000108528	SLC25A11	solute carrier family 25 member 11 [Source:HGNC Symbol;Acc:HGNC:10981]
4356	ENSG00000189139	FSCB	fibrous sheath CABYR binding protein [Source:HGNC Symbol;Acc:HGNC:20494]
4357	ENSG00000099250	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]
4358	ENSG00000183161	FANCF	FA complementation group F [Source:HGNC Symbol;Acc:HGNC:3587]
4359	ENSG00000160255	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]
4360	ENSG00000095932	SMIM24	small integral membrane protein 24 [Source:HGNC Symbol;Acc:HGNC:37244]
